# Name1, Name2, weight
I1L , I2L         ,2
I1L , M3L         ,2
I1L , MCR         ,1
I1L , NSML        ,3
I1L , pm4vl       ,1
I1L , RIPL        ,2
I1R , I2R         ,1
I1R , I3          ,1
I1R , MCR         ,4
I1R , NSMR        ,2
I1R , pm3vr       ,3
I1R , pm4vr       ,2
I1R , RIPR        ,2
I2L , I1L         ,2
I2L , I4          ,1
I2L , M2L         ,1
I2R , I1R         ,1
I2R , M1          ,1
I2R , M2R         ,1
I2R , MCR         ,1
I2R , NSMR        ,2
I3 , I1R         ,1
I3 , M1          ,1
I3 , MI          ,1
I3 , pm4d        ,3
I3 , pm5d        ,1
I4 , I2L         ,1
I4 , M2R         ,2
I4 , M4          ,1
I4 , pm5vl       ,1
I5 , M2L         ,1
I5 , M2R         ,1
I5 , M5          ,1
I6 , M4          ,5
M1 , I2R         ,1
M1 , I3          ,1
M1 , pm5d        ,3
M2L , I2L         ,1
M2L , I5          ,1
M2L , M4          ,1
M2L , MCL         ,1
M2L , pm4vl       ,1
M2L , pm5vl       ,1
M2R , I2R         ,1
M2R , I4          ,2
M2R , I5          ,1
M2R , M3R         ,1
M2R , MCR         ,11
M2R , MI          ,5
M2R , pm5d        ,1
M3L , I1L         ,2
M3L , NSMR        ,1
M3L , pm4d        ,2
M3L , pm5d        ,1
M3L , pm5vl       ,1
M3R , M2R         ,1
M3R , NSMR        ,2
M3R , pm4vr       ,1
M3R , pm5d        ,1
M3R , pm5vr       ,1
M4 , I4          ,1
M4 , I6          ,5
M4 , M2L         ,1
M4 , M4          ,1
M4 , M5          ,2
M4 , pm5d        ,1
M4 , pm5vl       ,1
M4 , pm5vr       ,1
M5 , I5          ,1
M5 , M4          ,2
M5 , M5          ,1
M5 , pm5vl       ,2
M5 , pm6vr       ,2
MCL , M2L         ,1
MCR , I1L         ,1
MCR , I1R         ,4
MCR , I2R         ,1
MCR , M2R         ,11
MI , I3          ,1
MI , M2R         ,5
MI , pm4d        ,3
NSML , I1L         ,3
NSML , NSMR        ,2
NSMR , I1R         ,2
NSMR , I2R         ,2
NSMR , M3L         ,1
NSMR , M3R         ,2
NSMR , NSML        ,2
NSMR , pm5d        ,2
pm1d , pm2d        ,2
pm1vl , pm2vl       ,2
pm1vr , pm2vr       ,2
pm2d , pm1d        ,2
pm2d , pm3d        ,2
pm2vl , pm1vl       ,2
pm2vl , pm3vl       ,2
pm2vr , pm1vr       ,2
pm2vr , pm3vr       ,2
pm3d , pm2d        ,2
pm3d , pm4d        ,2
pm3d , mc1dl       ,2
pm3d , mc1dr       ,2
pm3vl , pm2vl       ,2
pm3vl , pm4vl       ,2
pm3vl , mc1dl       ,2
pm3vl , mc1v        ,2
pm3vr , I1R         ,3
pm3vr , pm2vr       ,2
pm3vr , pm4vr       ,2
pm3vr , mc1v        ,2
pm4d , I3          ,3
pm4d , M3L         ,2
pm4d , MI          ,3
pm4d , pm3d        ,2
pm4d , pm5d        ,2
pm4d , mc1dl       ,2
pm4d , mc1dr       ,2
pm4vl , I1L         ,1
pm4vl , M2L         ,1
pm4vl , pm3vl       ,2
pm4vl , pm5vl       ,2
pm4vl , mc1dl       ,2
pm4vl , mc1v        ,2
pm4vr , I1R         ,2
pm4vr , M3R         ,1
pm4vr , pm3vr       ,2
pm4vr , pm5vr       ,2
pm4vr , mc1dr       ,4
pm4vr , mc1v        ,2
pm5d , I3          ,1
pm5d , M1          ,3
pm5d , M2R         ,1
pm5d , M3L         ,1
pm5d , M3R         ,1
pm5d , M4          ,1
pm5d , NSMR        ,2
pm5d , pm4d        ,2
pm5d , pm6d        ,2
pm5d , mc2dl       ,2
pm5d , mc2dr       ,2
pm5vl , I4          ,1
pm5vl , M2L         ,1
pm5vl , M3L         ,1
pm5vl , M4          ,1
pm5vl , M5          ,2
pm5vl , pm4vl       ,2
pm5vl , pm6vl       ,2
pm5vl , mc2dl       ,2
pm5vl , mc2v        ,2
pm5vr , M3R         ,1
pm5vr , M4          ,1
pm5vr , pm4vr       ,2
pm5vr , pm6vr       ,2
pm5vr , mc2dr       ,2
pm5vr , mc2v        ,2
pm6d , pm5d        ,2
pm6d , mc3dl       ,2
pm6d , mc3dr       ,2
pm6vl , pm5vl       ,2
pm6vl , mc3dl       ,2
pm6vl , mc3v        ,2
pm6vr , M5          ,2
pm6vr , pm5vr       ,2
pm6vr , mc3dr       ,2
pm6vr , mc3v        ,2
pm7d , pm8         ,2
pm7d , mc3dl       ,2
pm7d , mc3dr       ,2
pm7vl , pm8         ,2
pm7vl , mc3dl       ,2
pm7vl , mc3v        ,2
pm7vr , pm8         ,2
pm7vr , mc3dr       ,2
pm7vr , mc3v        ,2
pm8 , pm7d        ,2
pm8 , pm7vl       ,2
pm8 , pm7vr       ,2
pm8 , mc3dl       ,2
pm8 , mc3dr       ,2
pm8 , mc3v        ,2
mc1dl , pm3d        ,2
mc1dl , pm3vl       ,2
mc1dl , pm4d        ,2
mc1dl , pm4vl       ,2
mc1dl , mc2dl       ,2
mc1dr , pm3d        ,2
mc1dr , pm4d        ,2
mc1dr , pm4vr       ,4
mc1dr , mc2dr       ,2
mc1v , pm3vl       ,2
mc1v , pm3vr       ,2
mc1v , pm4vl       ,2
mc1v , pm4vr       ,2
mc2dl , pm5d        ,2
mc2dl , pm5vl       ,2
mc2dl , mc1dl       ,2
mc2dl , mc3dl       ,2
mc2dr , pm5d        ,2
mc2dr , pm5vr       ,2
mc2dr , mc1dr       ,2
mc2dr , mc3dr       ,2
mc2v , pm5vl       ,2
mc2v , pm5vr       ,2
mc3dl , pm6d        ,2
mc3dl , pm6vl       ,2
mc3dl , pm7d        ,2
mc3dl , pm7vl       ,2
mc3dl , pm8         ,2
mc3dl , mc2dl       ,2
mc3dr , pm6d        ,2
mc3dr , pm6vr       ,2
mc3dr , pm7d        ,2
mc3dr , pm7vr       ,2
mc3dr , pm8         ,2
mc3dr , mc2dr       ,2
mc3v , pm6vl       ,2
mc3v , pm6vr       ,2
mc3v , pm7vl       ,2
mc3v , pm7vr       ,2
mc3v , pm8         ,2
ADFL , ASHL        ,1
ADFL , AWCL        ,1
ADFL , AFDL        ,3
ADFL , AIZL        ,1
ADFL , ADAL        ,5
ADFL , RIAL        ,1
ADFL , URBL        ,1
ADFL , RIPL        ,2
ADFR , ASGR        ,1
ADFR , AWAR        ,3
ADFR , AWBR        ,1
ADFR , AFDR        ,5
ADFR , AIAR        ,4
ADFR , ADAR        ,4
ADFR , RIH         ,1
ADFR , SMBVR       ,1
ADFR , SMDVR       ,2
ADLL , ADLR        ,6
ADLL , AWAL        ,1
ADLL , RMGL        ,3
ADLL , AVDR        ,2
ADLL , hyp         ,1
ADLR , ADLL        ,6
ADLR , ASGR        ,1
ADLR , ASKR        ,1
ASEL , ASGL        ,3
ASEL , AWCL        ,1
ASEL , AWCR        ,2
ASEL , AFDL        ,6
ASEL , AFDR        ,2
ASER , ASGR        ,3
ASER , AWBR        ,1
ASER , AFDR        ,1
ASER , PVQR        ,1
ASGL , ASEL        ,3
ASGL , AWBL        ,1
ASGL , AIZL        ,3
ASGL , AIML        ,1
ASGL , AINR        ,1
ASGL , RIVL        ,2
ASGR , ADFR        ,1
ASGR , ADLR        ,1
ASGR , ASER        ,3
ASGR , ASIR        ,4
ASGR , AWCR        ,2
ASGR , AIAR        ,3
ASGR , AIZR        ,1
ASGR , AINL        ,1
ASHL , ADFL        ,1
ASHL , ASHR        ,7
ASHL , ASKL        ,18
ASHL , AIZL        ,2
ASHL , RICL        ,5
ASHL , RMGL        ,3
ASHR , ASHL        ,7
ASHR , ASKR        ,2
ASHR , AFDR        ,4
ASHR , AIAR        ,1
ASHR , AIZR        ,6
ASHR , ADAR        ,3
ASHR , RICR        ,4
ASHR , RMGR        ,3
ASHR , AVHL        ,2
ASHR , AVAR        ,2
ASHR , AVER        ,1
ASIL , AIAL        ,1
ASIL , AINR        ,1
ASIR , ASGR        ,4
ASIR , AIAL        ,2
ASIR , AIAR        ,3
ASIR , AIYR        ,1
ASJL , ASJR        ,7
ASJL , IL2L        ,1
ASJL , AIAL        ,1
ASJL , ALA         ,2
ASJL , PVQL        ,1
ASJL , RIVL        ,1
ASJR , ASJL        ,7
ASJR , AIMR        ,1
ASJR , PVQR        ,5
ASKL , ASHL        ,18
ASKL , ASKR        ,9
ASKL , AIAL        ,2
ASKL , AIBL        ,1
ASKL , AVHL        ,8
ASKL , PVQL        ,8
ASKL , HSNL        ,1
ASKR , ADLR        ,1
ASKR , ASHR        ,2
ASKR , ASKL        ,9
ASKR , ASKR        ,2
ASKR , AIAR        ,1
ASKR , AIBR        ,3
ASKR , ALA         ,1
ASKR , RMGR        ,1
ASKR , AVHR        ,10
ASKR , PVQR        ,25
ASKR , HSNR        ,3
AWAL , ADLL        ,1
AWAL , AWAR        ,2
AWAL , AIZL        ,3
AWAR , ADFR        ,3
AWAR , AWAL        ,2
AWAR , AIAR        ,3
AWAR , AIZR        ,3
AWBL , ASGL        ,1
AWBL , AWBR        ,3
AWBL , AUAL        ,4
AWBL , AIAL        ,1
AWBL , RMGL        ,1
AWBR , ADFR        ,1
AWBR , ASER        ,1
AWBR , AWBL        ,3
AWBR , AUAR        ,3
AWBR , RICL        ,4
AWBR , RMGR        ,1
AWCL , ADFL        ,1
AWCL , ASEL        ,1
AWCL , AUAL        ,1
AWCR , ASEL        ,2
AWCR , ASGR        ,2
AWCR , AFDR        ,3
AWCR , AIAL        ,1
AWCR , AIAR        ,1
AFDL , ADFL        ,3
AFDL , ASEL        ,6
AFDL , AFDR        ,1
AFDL , AIBL        ,2
AFDL , AIYL        ,2
AFDL , URBL        ,9
AFDL , AVEL        ,1
AFDR , ADFR        ,5
AFDR , ASEL        ,2
AFDR , ASER        ,1
AFDR , ASHR        ,4
AFDR , AWCR        ,3
AFDR , AFDL        ,1
AFDR , URBR        ,2
AFDR , RMDVR       ,1
IL1DL , IL1DR       ,3
IL1DL , IL1L        ,2
IL1DL , RMEV        ,1
IL1DR , IL1DL       ,3
IL1DR , IL1R        ,8
IL1DR , RMDVR       ,1
IL1DR , RMEV        ,4
IL1L , IL1DL       ,2
IL1L , IL1VL       ,8
IL1L , URBL        ,2
IL1L , RIPL        ,1
IL1L , RMER        ,1
IL1R , IL1DR       ,8
IL1R , IL1VR       ,8
IL1VL , IL1L        ,8
IL1VL , IL1VR       ,11
IL1VL , RMDDL       ,1
IL1VL , RMED        ,3
IL1VR , IL1R        ,8
IL1VR , IL1VL       ,11
IL1VR , IL2VR       ,1
IL1VR , URAVR       ,4
IL2DL , URADL       ,1
IL2DR , RMED        ,1
IL2DR , URADR       ,1
IL2L , ASJL        ,1
IL2L , OLLL        ,2
IL2L , URXL        ,1
IL2L , RMGL        ,5
IL2L , URBL        ,4
IL2L , RMDL        ,2
IL2L , RMER        ,2
IL2L , URAVL       ,1
IL2R , URXR        ,4
IL2R , RMGR        ,1
IL2R , URBR        ,4
IL2VL , URAVL       ,3
IL2VR , IL1VR       ,1
IL2VR , CEPVR       ,1
OLQDL , CEPDL       ,2
OLQDL , RIBL        ,5
OLQDL , RIGL        ,3
OLQDL , URBL        ,3
OLQDL , RMDVL       ,1
OLQDR , CEPDR       ,8
OLQDR , RIBR        ,5
OLQDR , RIGR        ,4
OLQDR , RIH         ,2
OLQDR , URBR        ,7
OLQDR , RMDVR       ,1
OLQVL , CEPVL       ,4
OLQVL , ADAL        ,4
OLQVL , RIBL        ,2
OLQVL , RIGL        ,2
OLQVL , RMDDL       ,3
OLQVR , CEPVR       ,1
OLQVR , RIBR        ,6
OLQVR , RIGR        ,6
OLQVR , URBR        ,5
OLQVR , RMDVL       ,2
OLLL , IL2L        ,2
OLLL , OLLR        ,11
OLLL , RIGL        ,3
OLLR , OLLL        ,11
OLLR , RIGR        ,5
CEPDL , OLQDL       ,2
CEPDR , OLQDR       ,8
CEPVL , OLQVL       ,4
CEPVL , RIH         ,1
CEPVL , URAVL       ,3
CEPVR , IL2VR       ,1
CEPVR , OLQVR       ,1
CEPVR , AIMR        ,1
ALML , AVM         ,7
ALML , BDUL        ,23
ALML , RMGL        ,3
ALML , PVR         ,3
ALML , RMDDR       ,2
ALML , SMBDR       ,1
ALMR , AVM         ,16
ALMR , BDUR        ,23
ALMR , SDQR        ,2
ALMR , PVR         ,3
ALMR , AVDR        ,2
AVM , ALML        ,7
AVM , ALMR        ,16
AVM , PVR         ,4
AVM , AVDL        ,8
PVM , PVM         ,1
PVM , PDEL        ,11
PVM , PDER        ,8
PVM , AVKL        ,1
PVM , DVA         ,1
PVM , PVR         ,1
PVM , DB03        ,2
PVM , VD09        ,1
PLML , PLNL        ,1
PLML , PDEL        ,2
PLML , PDER        ,3
PLML , PHCL        ,11
PLML , PVCL        ,4
PLML , LUAL        ,8
PLML , hyp         ,3
PLMR , PLNR        ,1
PLMR , PDEL        ,4
PLMR , PDER        ,2
PLMR , PVR         ,3
PLMR , PVCR        ,8
PLMR , LUAR        ,9
PLMR , hyp         ,1
ALNL , SMBDR       ,3
ALNL , SMDDR       ,2
ALNL , SMDVL       ,1
ALNL , hyp         ,3
ALNR , ADER        ,2
ALNR , RMGR        ,1
ALNR , PVR         ,16
ALNR , SMDDL       ,1
PLNL , PLML        ,1
PLNL , PHAL        ,1
PLNL , PHBL        ,1
PLNL , PHCL        ,2
PLNL , PVWL        ,1
PLNL , VA02        ,2
PLNL , hyp         ,3
PLNR , PLMR        ,1
PLNR , PHAR        ,6
PLNR , PHBR        ,12
PLNR , hyp         ,2
FLPL , FLPR        ,6
FLPL , SDQL        ,1
FLPL , AIBL        ,1
FLPL , RIH         ,1
FLPL , AVDL        ,5
FLPL , SIADR       ,1
FLPL , DD01        ,1
FLPR , FLPL        ,6
FLPR , ADER        ,4
FLPR , AVDL        ,9
FLPR , AVDR        ,2
FLPR , DA01        ,5
FLPR , DA02        ,6
FLPR , DA03        ,16
FLPR , AS01        ,1
BDUL , ALML        ,23
BDUL , PVNL        ,1
BDUR , ALMR        ,23
BDUR , PVR         ,3
BDUR , HSNR        ,1
SDQL , FLPL        ,1
SDQL , SDQR        ,2
SDQL , DVA         ,1
SDQL , SIADR       ,1
SDQR , ALMR        ,2
SDQR , SDQL        ,2
SDQR , AIBL        ,1
SDQR , DVA         ,1
SDQR , AVBL        ,1
SDQR , RIVL        ,5
SDQR , RIVR        ,3
SDQR , SAADL       ,1
SDQR , SIAVR       ,1
SDQR , SIBDL       ,2
PVDL , PVDR        ,3
PVDL , AVG         ,1
PVDL , PVCR        ,1
PVDL , AVAR        ,4
PVDL , VA10        ,1
PVDR , PVDL        ,3
PVDR , PDER        ,1
PVDR , DVC         ,1
PVDR , PVCR        ,2
PVDR , AVAL        ,6
PVDR , VD09        ,1
BAGL , BAGR        ,1
BAGL , AINR        ,3
BAGL , RIGL        ,1
BAGL , RIGR        ,2
BAGL , RIR         ,4
BAGR , BAGL        ,1
BAGR , RIR         ,5
BAGR , AVEL        ,1
URXL , IL2L        ,1
URXL , RMGL        ,3
URXR , IL2R        ,4
URXR , AUAR        ,3
URXR , RICR        ,1
URXR , RMGR        ,5
URYDL , RIGL        ,4
URYDL , AVAL        ,2
URYDR , RIGR        ,3
URYDR , AVAR        ,5
URYDR , URADR       ,1
URYVL , RIGL        ,3
URYVR , AVAL        ,2
AQR , RIGR        ,3
AQR , AVKL        ,7
AQR , AVKR        ,2
AQR , PVPL        ,41
AQR , PVPR        ,61
AQR , AVBL        ,3
PQR , PHBL        ,1
PQR , AVJL        ,5
PQR , AVJR        ,2
PQR , PVNL        ,3
PQR , PVNR        ,2
PQR , PVPL        ,16
PQR , PVPR        ,10
PQR , PVWL        ,2
PQR , PVCL        ,2
PQR , AVDL        ,2
PQR , AVDR        ,3
PQR , hyp         ,1
AUAL , AWBL        ,4
AUAL , AWCL        ,1
AUAL , AUAR        ,2
AUAL , AINR        ,3
AUAL , RMDVL       ,2
AUAR , AWBR        ,3
AUAR , URXR        ,3
AUAR , AUAL        ,2
AUAR , AIYR        ,1
AUAR , AINL        ,1
ADEL , AINL        ,2
ADEL , RIGR        ,1
ADER , ALNR        ,2
ADER , FLPR        ,4
ADER , AINR        ,4
ADER , AVJR        ,1
ADER , AVKL        ,4
ADER , PVQR        ,2
PDEL , PVM         ,11
PDEL , PLML        ,2
PDEL , PLMR        ,4
PDEL , PDER        ,25
PDEL , AVKL        ,2
PDEL , AVKR        ,1
PDEL , DVA         ,3
PDEL , PVR         ,8
PDEL , PVCR        ,2
PDEL , VB10        ,1
PDEL , VB11        ,4
PDEL , VD06        ,2
PDER , PVM         ,8
PDER , PLML        ,3
PDER , PLMR        ,2
PDER , PVDR        ,1
PDER , PDEL        ,25
PDER , DVA         ,6
PDER , PVR         ,9
PDER , PVCL        ,1
PDER , VB09        ,7
PDER , VB10        ,4
PDER , VD09        ,5
PDER , hyp         ,1
PHAL , PLNL        ,1
PHAL , PHAR        ,7
PHAL , PHCL        ,1
PHAL , AVG         ,3
PHAL , AVHL        ,1
PHAL , PVPR        ,7
PHAL , PVQL        ,1
PHAL , hyp         ,1
PHAR , PLNR        ,6
PHAR , PHAL        ,7
PHAR , PHBR        ,1
PHAR , AVG         ,2
PHAR , AVHR        ,2
PHAR , PVPL        ,15
PHAR , PVR         ,2
PHAR , PVCR        ,2
PHAR , hyp         ,1
PHBL , PLNL        ,1
PHBL , PQR         ,1
PHBL , PHBR        ,17
PHBL , AVHL        ,1
PHBL , AVHR        ,2
PHBL , AVJR        ,1
PHBL , PVQL        ,3
PHBL , PVCL        ,3
PHBL , AVAR        ,1
PHBL , hyp         ,3
PHBR , PLNR        ,12
PHBR , PHAR        ,1
PHBR , PHBL        ,17
PHBR , PHCR        ,1
PHBR , AVHL        ,10
PHBR , AVHR        ,2
PHBR , PVPL        ,1
PHBR , PVQR        ,4
PHBR , PVR         ,1
PHBR , PVT         ,1
PHBR , PVWR        ,1
PHBR , hyp         ,4
PHCL , PLML        ,11
PHCL , PLNL        ,2
PHCL , PHAL        ,1
PHCL , PHCR        ,2
PHCL , AVAL        ,1
PHCL , DA08        ,2
PHCL , VA12        ,1
PHCL , hyp         ,1
PHCR , PHBR        ,1
PHCR , PHCL        ,2
PHCR , AVG         ,1
PHCR , AVHL        ,2
PHCR , AVJR        ,1
PHCR , PVCR        ,5
PHCR , AVAL        ,3
PHCR , AVAR        ,1
PHCR , LUAR        ,1
PHCR , DA09        ,7
AIAL , ASIL        ,1
AIAL , ASIR        ,2
AIAL , ASJL        ,1
AIAL , ASKL        ,2
AIAL , AWBL        ,1
AIAL , AWCR        ,1
AIAL , AIAR        ,7
AIAL , AIBL        ,5
AIAR , ADFR        ,4
AIAR , ASGR        ,3
AIAR , ASHR        ,1
AIAR , ASIR        ,3
AIAR , ASKR        ,1
AIAR , AWAR        ,3
AIAR , AWCR        ,1
AIAR , AIAL        ,7
AIAR , AIAR        ,2
AIBL , ASKL        ,1
AIBL , AFDL        ,2
AIBL , FLPL        ,1
AIBL , SDQR        ,1
AIBL , AIAL        ,5
AIBL , AIZR        ,4
AIBL , RIGR        ,3
AIBL , RIS         ,1
AIBL , DVC         ,2
AIBL , RIMR        ,1
AIBL , RMED        ,2
AIBL , SIADR       ,1
AIBL , SMDDR       ,1
AIBR , ASKR        ,3
AIBR , AIZL        ,3
AIBR , RICR        ,1
AIBR , RIGL        ,3
AIBR , RIS         ,3
AIBR , DVC         ,9
AIBR , PVPL        ,2
AIBR , PVT         ,1
AIBR , RIML        ,2
AIBR , RIVR        ,3
AIBR , SIAVL       ,1
AIBR , SMDDL       ,2
AIYL , AFDL        ,2
AIYL , AIYR        ,4
AIYL , AVKL        ,1
AIYL , RIML        ,5
AIYR , ASIR        ,1
AIYR , AUAR        ,1
AIYR , AIYL        ,4
AIYR , RIMR        ,3
AIZL , ADFL        ,1
AIZL , ASGL        ,3
AIZL , ASHL        ,2
AIZL , AWAL        ,3
AIZL , AIBR        ,3
AIZL , AIZR        ,18
AIZL , RIGL        ,1
AIZL , RIH         ,1
AIZR , ASGR        ,1
AIZR , ASHR        ,6
AIZR , AWAR        ,3
AIZR , AIBL        ,4
AIZR , AIZL        ,18
AIZR , SIBVL       ,1
ADAL , ADFL        ,5
ADAL , OLQVL       ,4
ADAL , ADAR        ,3
ADAL , PVQL        ,4
ADAL , AVDR        ,2
ADAR , ADFR        ,4
ADAR , ASHR        ,3
ADAR , ADAL        ,3
ADAR , PVQR        ,2
ADAR , AVDL        ,3
AIML , ASGL        ,1
AIML , SIBVR       ,1
AIMR , ASJR        ,1
AIMR , CEPVR       ,1
AIMR , AVKR        ,3
AIMR , SMBVR       ,1
AINL , ASGR        ,1
AINL , AUAR        ,1
AINL , ADEL        ,2
AINL , AINR        ,1
AINR , ASGL        ,1
AINR , ASIL        ,1
AINR , BAGL        ,3
AINR , AUAL        ,3
AINR , ADER        ,4
AINR , AINL        ,1
AINR , RIAL        ,2
ALA , ASJL        ,2
ALA , ASKR        ,1
ALA , RID         ,4
ALA , AVAL        ,1
ALA , AVER        ,3
ALA , HSNR        ,1
RIAL , ADFL        ,1
RIAL , AINR        ,2
RIAL , RIBL        ,1
RIAL , SMDVL       ,4
RIAR , RMDDL       ,1
RIAR , RMDDR       ,1
RIAR , SAAVR       ,1
RIAR , SIAVL       ,1
RIAR , SIAVR       ,1
RIAR , SMDDL       ,1
RIAR , SMDVR       ,1
RIBL , OLQDL       ,5
RIBL , OLQVL       ,2
RIBL , RIAL        ,1
RIBL , RIBL        ,3
RIBL , RIBR        ,15
RIBL , RIGL        ,3
RIBL , AVBL        ,6
RIBL , AVBR        ,3
RIBL , RMEV        ,2
RIBL , SIADL       ,2
RIBL , SIAVL       ,1
RIBL , SIBDL       ,5
RIBL , SIBVL       ,1
RIBL , SIBVR       ,2
RIBL , SMDDL       ,3
RIBR , OLQDR       ,5
RIBR , OLQVR       ,6
RIBR , RIBL        ,15
RIBR , RIBR        ,5
RIBR , RIGR        ,2
RIBR , AVBL        ,2
RIBR , AVBR        ,3
RIBR , SIADR       ,3
RIBR , SIAVR       ,2
RIBR , SIBDR       ,2
RIBR , SIBVR       ,6
RIBR , SMBDR       ,2
RIBR , SMDDL       ,4
RIBR , SMDDR       ,2
RICL , ASHL        ,5
RICL , AWBR        ,4
RICL , AVKR        ,4
RICR , ASHR        ,4
RICR , URXR        ,1
RICR , AIBR        ,1
RICR , RMHR        ,1
RIFL , AVDL        ,1
RIFL , AVER        ,1
RIFL , HSNL        ,1
RIFR , RMGR        ,1
RIFR , AVG         ,3
RIFR , AVJL        ,1
RIFR , DD01        ,2
RIGL , OLQDL       ,3
RIGL , OLQVL       ,2
RIGL , OLLL        ,3
RIGL , BAGL        ,1
RIGL , URYDL       ,4
RIGL , URYVL       ,3
RIGL , AIBR        ,3
RIGL , AIZL        ,1
RIGL , RIBL        ,3
RIGL , RIGR        ,81
RIGL , RMFL        ,1
RIGL , AVKL        ,2
RIGL , PVPL        ,2
RIGL , RMEL        ,2
RIGL , VD01        ,3
RIGR , OLQDR       ,4
RIGR , OLQVR       ,6
RIGR , OLLR        ,5
RIGR , BAGL        ,2
RIGR , URYDR       ,3
